time	V(vout)
4.318865218097986e-002	-1.243426e-001
4.335534565436275e-002	-1.253247e-001
4.357406046046133e-002	-1.266055e-001
4.375058266088371e-002	-1.276327e-001
4.390511129479768e-002	-1.285262e-001
4.407985119298501e-002	-1.295304e-001
4.423965294886024e-002	-1.304433e-001
4.440277709347726e-002	-1.313695e-001
4.455677439977732e-002	-1.322388e-001
4.471590324989769e-002	-1.331317e-001
4.487042798934284e-002	-1.339935e-001
4.502944628637900e-002	-1.348751e-001
4.518622388251644e-002	-1.357388e-001
4.534825335320847e-002	-1.366259e-001
4.551185722136610e-002	-1.375157e-001
4.568455368298216e-002	-1.384486e-001
4.586611635363216e-002	-1.394221e-001
4.606668347543773e-002	-1.404889e-001
4.629142440682342e-002	-1.416732e-001
4.656173016207761e-002	-1.430842e-001
4.674753143885492e-002	-1.440468e-001
4.677248271160939e-002	-1.441752e-001
4.682238525711835e-002	-1.444312e-001
4.692219034813625e-002	-1.449418e-001
4.699756557404634e-002	-1.453263e-001
4.700800745713356e-002	-1.453795e-001
4.702889122330800e-002	-1.454857e-001
4.703411216485161e-002	-1.455122e-001
4.704455404793884e-002	-1.455652e-001
4.704613192301904e-002	-1.455732e-001
4.704652639178909e-002	-1.455752e-001
4.704731532932920e-002	-1.455792e-001
4.704889320440940e-002	-1.455873e-001
4.705204895456981e-002	-1.456033e-001
4.705836045489064e-002	-1.456353e-001
4.706994609472712e-002	-1.456941e-001
4.708987288691185e-002	-1.457951e-001
4.711950398734336e-002	-1.459451e-001
4.716283713436367e-002	-1.461664e-001
4.720956256910683e-002	-1.464179e-001
4.726967087087648e-002	-1.467885e-001
4.734688949384310e-002	-1.473704e-001
4.745104207427217e-002	-1.483173e-001
4.756725019577775e-002	-1.495019e-001
4.767857704897647e-002	-1.506849e-001
4.769990154568533e-002	-1.509112e-001
4.770523266986254e-002	-1.509672e-001
4.770656545090685e-002	-1.509812e-001
4.770923101299545e-002	-1.510091e-001
4.771456213717266e-002	-1.510646e-001
4.772522438552709e-002	-1.511743e-001
4.774654888223595e-002	-1.513894e-001
4.777009583092739e-002	-1.516180e-001
4.781718972831026e-002	-1.520484e-001
4.788574377509153e-002	-1.526266e-001
4.796844564592649e-002	-1.532638e-001
4.804419748798388e-002	-1.537993e-001
4.812333155112202e-002	-1.543197e-001
4.820961501869348e-002	-1.548579e-001
4.829744407093195e-002	-1.553862e-001
4.839397749979346e-002	-1.559549e-001
4.850440876292057e-002	-1.565994e-001
4.863740361468083e-002	-1.573715e-001
4.880330180715614e-002	-1.583294e-001
4.902129264079334e-002	-1.595803e-001
4.919789416042642e-002	-1.605874e-001
4.935262465706829e-002	-1.614640e-001
4.952786061378482e-002	-1.624509e-001
4.968768863632943e-002	-1.633455e-001
4.985095071830724e-002	-1.642539e-001
5.000490771848490e-002	-1.651054e-001
5.016416082970992e-002	-1.659809e-001
5.031872495430093e-002	-1.668256e-001
5.047794359209232e-002	-1.676904e-001
5.063494713833355e-002	-1.685379e-001
5.079750426709979e-002	-1.694098e-001
5.096195262808388e-002	-1.702861e-001
5.113626699753615e-002	-1.712085e-001
5.132053518106632e-002	-1.721764e-001
5.152589539836114e-002	-1.732461e-001
5.175868245909628e-002	-1.744472e-001
5.204788789367156e-002	-1.759248e-001
5.223212580426301e-002	-1.768587e-001
5.225540115456821e-002	-1.769760e-001
5.230195185517860e-002	-1.772096e-001
5.239505325639940e-002	-1.776758e-001
5.245584617552624e-002	-1.779795e-001
5.246454388776903e-002	-1.780229e-001
5.248193931225463e-002	-1.781095e-001
5.249588970555557e-002	-1.781789e-001
5.249937730388080e-002	-1.781963e-001
5.250635250053127e-002	-1.782310e-001
5.251985517002820e-002	-1.782981e-001
5.253621438153727e-002	-1.783794e-001
5.255448837078895e-002	-1.784700e-001
5.258953265711479e-002	-1.786444e-001
5.263278414361738e-002	-1.788668e-001
5.268468639634701e-002	-1.791669e-001
5.274708373511393e-002	-1.796221e-001
5.283711396749654e-002	-1.804697e-001
5.293107872677376e-002	-1.815448e-001
5.305212201192481e-002	-1.830758e-001
5.306596125478470e-002	-1.832560e-001
5.309363974050449e-002	-1.836161e-001
5.314899671194407e-002	-1.843268e-001
5.316283595480396e-002	-1.845021e-001
5.316629576551894e-002	-1.845454e-001
5.317321538694889e-002	-1.846312e-001
5.318705462980878e-002	-1.847996e-001
5.321171587389579e-002	-1.850910e-001
5.323727177768390e-002	-1.853773e-001
5.328838358526012e-002	-1.859037e-001
5.336925297712002e-002	-1.866561e-001
5.344202558049786e-002	-1.872618e-001
5.351436066837471e-002	-1.878034e-001
5.359480705255450e-002	-1.883570e-001
5.368047122202599e-002	-1.889095e-001
5.376992926821628e-002	-1.894609e-001
5.386764987588355e-002	-1.900482e-001
5.398114739297706e-002	-1.907229e-001
5.411720885953118e-002	-1.915275e-001
5.429003273752119e-002	-1.925443e-001
5.451634149998808e-002	-1.938682e-001
5.469279555258159e-002	-1.948945e-001
5.484569969172805e-002	-1.957785e-001
5.501710078185266e-002	-1.967640e-001
5.517684806253586e-002	-1.976776e-001
5.533917847695385e-002	-1.986009e-001
