time	V(vin)	V(vout)
1.508044465498692e-002	-9.832944e-001	-1.437047e-002
1.509786154871643e-002	-9.832750e-001	-1.438970e-002
1.511606388604640e-002	-9.832547e-001	-1.441010e-002
1.515246856070636e-002	-9.832140e-001	-1.445459e-002
1.519611697892497e-002	-9.831652e-001	-1.452203e-002
1.524966193479667e-002	-9.831054e-001	-1.464107e-002
1.531420814671760e-002	-9.830333e-001	-1.485313e-002
1.540993839602678e-002	-9.829263e-001	-1.526858e-002
1.550845720223516e-002	-9.828162e-001	-1.574860e-002
1.562605853369159e-002	-9.826848e-001	-1.632631e-002
1.563295261054070e-002	-9.826771e-001	-1.635873e-002
1.564674076423891e-002	-9.826617e-001	-1.642086e-002
1.567431707163535e-002	-9.826309e-001	-1.654127e-002
1.572946968642822e-002	-9.825692e-001	-1.676958e-002
1.580120366917787e-002	-9.824890e-001	-1.704601e-002
1.585724508906627e-002	-9.824264e-001	-1.724475e-002
1.590897288374264e-002	-9.823686e-001	-1.741419e-002
1.596605323683715e-002	-9.823048e-001	-1.758911e-002
1.604283995441673e-002	-9.822189e-001	-1.781087e-002
1.612726863671792e-002	-9.821245e-001	-1.804173e-002
1.621640648558402e-002	-9.820248e-001	-1.827571e-002
1.622697254265564e-002	-9.820130e-001	-1.830269e-002
1.624810465679887e-002	-9.819894e-001	-1.835561e-002
1.629036888508534e-002	-9.819421e-001	-1.846042e-002
1.631081062501859e-002	-9.819192e-001	-1.851064e-002
1.631592106000191e-002	-9.819135e-001	-1.852310e-002
1.631719866874774e-002	-9.819121e-001	-1.852621e-002
1.631975388623939e-002	-9.819092e-001	-1.853241e-002
1.632486432122271e-002	-9.819035e-001	-1.854480e-002
1.633318116839832e-002	-9.818942e-001	-1.856492e-002
1.634657930493711e-002	-9.818792e-001	-1.859719e-002
1.636044142659047e-002	-9.818637e-001	-1.863050e-002
1.638816566989719e-002	-9.818327e-001	-1.869835e-002
1.642931928887980e-002	-9.817867e-001	-1.880788e-002
1.647600780224815e-002	-9.817345e-001	-1.895910e-002
1.653327300981149e-002	-9.816704e-001	-1.920664e-002
1.660740763764660e-002	-9.815874e-001	-1.963570e-002
1.672153695797853e-002	-9.814597e-001	-2.042826e-002
1.683358664093722e-002	-9.813343e-001	-2.123576e-002
1.694829220712892e-002	-9.812060e-001	-2.202841e-002
1.696167408815960e-002	-9.811910e-001	-2.211519e-002
1.698843785022097e-002	-9.811611e-001	-2.227906e-002
1.704196537434371e-002	-9.811011e-001	-2.259218e-002
