time	V(output2)	V(vin2)
9.837862257023903e-003	-1.235054e-001	-9.803243e-001
9.883402221208981e-003	-1.250101e-001	-9.802332e-001
9.944775259244958e-003	-1.270101e-001	-9.801105e-001
1.002638841580428e-002	-1.296269e-001	-9.799472e-001
1.012536275880306e-002	-1.327525e-001	-9.797493e-001
1.021665699111831e-002	-1.356000e-001	-9.795667e-001
1.030884713103690e-002	-1.384495e-001	-9.793823e-001
1.040645607836037e-002	-1.414483e-001	-9.791871e-001
1.052382492746851e-002	-1.450386e-001	-9.789523e-001
1.066043328242360e-002	-1.492008e-001	-9.786791e-001
1.084821617035487e-002	-1.548975e-001	-9.783036e-001
1.102460759227649e-002	-1.602239e-001	-9.779508e-001
1.118639989553453e-002	-1.650850e-001	-9.776272e-001
1.136125518305590e-002	-1.703127e-001	-9.772775e-001
1.152719108908768e-002	-1.752489e-001	-9.769456e-001
1.169912821468845e-002	-1.803376e-001	-9.766017e-001
1.186477558975675e-002	-1.852208e-001	-9.762704e-001
1.187901814378985e-002	-1.856394e-001	-9.762419e-001
1.190750325185604e-002	-1.864749e-001	-9.761850e-001
1.196447346798843e-002	-1.881439e-001	-9.760711e-001
1.202446468040402e-002	-1.898990e-001	-9.759511e-001
1.204852498569187e-002	-1.906021e-001	-9.759030e-001
1.205094646015983e-002	-1.906729e-001	-9.758981e-001
1.205578940909577e-002	-1.908142e-001	-9.758884e-001
1.206547530696765e-002	-1.910969e-001	-9.758691e-001
1.207748403773950e-002	-1.914473e-001	-9.758450e-001
1.209075383579303e-002	-1.918343e-001	-9.758185e-001
1.211729343190010e-002	-1.926077e-001	-9.757654e-001
1.215426509937799e-002	-1.936841e-001	-9.756915e-001
1.219969569683691e-002	-1.950057e-001	-9.756006e-001
1.221996289775662e-002	-1.955951e-001	-9.755601e-001
1.222098749548015e-002	-1.956249e-001	-9.755580e-001
1.222303669092720e-002	-1.956845e-001	-9.755539e-001
1.222713508182131e-002	-1.958037e-001	-9.755457e-001
1.223341490808085e-002	-1.959866e-001	-9.755332e-001
1.224365226274381e-002	-1.962849e-001	-9.755127e-001
1.225439018052798e-002	-1.965984e-001	-9.754912e-001
1.227586601609632e-002	-1.972275e-001	-9.754483e-001
1.230705485380245e-002	-1.981464e-001	-9.753859e-001
1.235173914120919e-002	-1.994709e-001	-9.752965e-001
1.235760398643482e-002	-1.996457e-001	-9.752848e-001
1.236933367688607e-002	-1.999974e-001	-9.752613e-001
1.239279305778858e-002	-2.007031e-001	-9.752144e-001
1.239609725050896e-002	-2.008029e-001	-9.752078e-001
1.240270563594972e-002	-2.010029e-001	-9.751946e-001
1.240387620338760e-002	-2.010384e-001	-9.751922e-001
1.240621733826335e-002	-2.011095e-001	-9.751875e-001
1.241089960801486e-002	-2.012518e-001	-9.751782e-001
1.242026414751787e-002	-2.015371e-001	-9.751595e-001
1.242884661376161e-002	-2.017997e-001	-9.751423e-001
1.244601154624909e-002	-2.023282e-001	-9.751080e-001
1.247454032963641e-002	-2.032154e-001	-9.750509e-001
1.251622887356965e-002	-2.045281e-001	-9.749675e-001
1.255004113884711e-002	-2.056044e-001	-9.748999e-001
1.255242000207814e-002	-2.056807e-001	-9.748952e-001
1.255717772854020e-002	-2.058342e-001	-9.748856e-001
1.256669318146432e-002	-2.061415e-001	-9.748666e-001
1.256809480375092e-002	-2.061869e-001	-9.748638e-001
1.257089804832412e-002	-2.062778e-001	-9.748582e-001
1.257650453747053e-002	-2.064600e-001	-9.748470e-001
1.258588924111240e-002	-2.067659e-001	-9.748282e-001
1.259563317398988e-002	-2.070850e-001	-9.748088e-001
1.261512103974483e-002	-2.077283e-001	-9.747698e-001
1.264566735158374e-002	-2.087481e-001	-9.747087e-001
1.268908283978474e-002	-2.102199e-001	-9.746218e-001
1.273540419960839e-002	-2.118203e-001	-9.745292e-001
