time	V(output)	V(vin)
1.221996289775662e-002	2.102903e-002	1.149160e-001
1.222098749548015e-002	2.103287e-002	1.149256e-001
1.222303669092720e-002	2.104055e-002	1.149448e-001
1.222713508182131e-002	2.105591e-002	1.149831e-001
1.223341490808085e-002	2.107948e-002	1.150419e-001
1.224365226274381e-002	2.111796e-002	1.151378e-001
1.225439018052798e-002	2.115842e-002	1.152383e-001
1.227586601609632e-002	2.123969e-002	1.154394e-001
1.230705485380245e-002	2.135855e-002	1.157313e-001
1.235173914120919e-002	2.153004e-002	1.161496e-001
1.235760398643482e-002	2.155270e-002	1.162045e-001
1.236933367688607e-002	2.159830e-002	1.163143e-001
1.239279305778858e-002	2.168982e-002	1.165339e-001
1.239609725050896e-002	2.170276e-002	1.165649e-001
1.240270563594972e-002	2.172872e-002	1.166267e-001
1.240387620338760e-002	2.173333e-002	1.166377e-001
1.240621733826335e-002	2.174255e-002	1.166596e-001
1.241089960801486e-002	2.176102e-002	1.167034e-001
1.242026414751787e-002	2.179806e-002	1.167911e-001
1.242884661376161e-002	2.183213e-002	1.168714e-001
1.244601154624909e-002	2.190073e-002	1.170321e-001
1.247454032963641e-002	2.201586e-002	1.172991e-001
1.251622887356965e-002	2.218617e-002	1.176893e-001
1.255004113884711e-002	2.232576e-002	1.180057e-001
1.255242000207814e-002	2.233566e-002	1.180280e-001
1.255717772854020e-002	2.235556e-002	1.180725e-001
1.256669318146432e-002	2.239542e-002	1.181616e-001
1.256809480375092e-002	2.240130e-002	1.181747e-001
1.257089804832412e-002	2.241309e-002	1.182009e-001
1.257650453747053e-002	2.243672e-002	1.182534e-001
1.258588924111240e-002	2.247638e-002	1.183412e-001
1.259563317398988e-002	2.251776e-002	1.184324e-001
1.261512103974483e-002	2.260114e-002	1.186148e-001
1.264566735158374e-002	2.273327e-002	1.189006e-001
1.268908283978474e-002	2.292384e-002	1.193069e-001
1.273540419960839e-002	2.313091e-002	1.197404e-001
1.279639707732492e-002	2.340905e-002	1.203111e-001
1.285452824413854e-002	2.367845e-002	1.208549e-001
1.286811216634461e-002	2.374222e-002	1.209820e-001
1.289528001075676e-002	2.387103e-002	1.212362e-001
1.294961569958105e-002	2.412998e-002	1.217445e-001
1.295101714548136e-002	2.413669e-002	1.217576e-001
1.295382003728199e-002	2.415015e-002	1.217838e-001
1.295942582088325e-002	2.417708e-002	1.218363e-001
1.296082726678356e-002	2.418382e-002	1.218494e-001
1.296363015858419e-002	2.419730e-002	1.218756e-001
1.296923594218544e-002	2.422426e-002	1.219280e-001
1.298044750938795e-002	2.427823e-002	1.220329e-001
1.300127165568372e-002	2.437855e-002	1.222277e-001
1.303707753433193e-002	2.455114e-002	1.225626e-001
1.309351873779384e-002	2.482320e-002	1.230905e-001
1.310511049763493e-002	2.487904e-002	1.231990e-001
1.312829401731713e-002	2.499065e-002	1.234158e-001
1.313408989723768e-002	2.501854e-002	1.234700e-001
1.314568165707878e-002	2.507423e-002	1.235784e-001
1.316886517676097e-002	2.518538e-002	1.237952e-001
1.319898111637279e-002	2.532931e-002	1.240769e-001
1.323129882590977e-002	2.548325e-002	1.243791e-001
1.323937825329401e-002	2.552162e-002	1.244547e-001
1.325553710806250e-002	2.559814e-002	1.246058e-001
1.328785481759948e-002	2.575085e-002	1.249080e-001
1.329593424498373e-002	2.578893e-002	1.249835e-001
1.331209309975221e-002	2.586482e-002	1.251346e-001
1.334441080928919e-002	2.601597e-002	1.254368e-001
1.338243731876444e-002	2.619283e-002	1.257924e-001
1.341831676768526e-002	2.635851e-002	1.261278e-001
1.349007566552691e-002	2.668733e-002	1.267987e-001
1.359307755592936e-002	2.715634e-002	1.277616e-001
1.368777922125703e-002	2.758588e-002	1.286468e-001
1.377911748116063e-002	2.799988e-002	1.295004e-001
1.387054430427150e-002	2.841522e-002	1.303548e-001
1.397826839016233e-002	2.890668e-002	1.313613e-001
1.410440799186590e-002	2.948549e-002	1.325398e-001
1.426545995351015e-002	3.022958e-002	1.340441e-001
1.443444402316973e-002	3.101614e-002	1.356222e-001
1.459958273421572e-002	3.179087e-002	1.371640e-001
1.477530627209532e-002	3.262172e-002	1.388044e-001
1.494288523794171e-002	3.342016e-002	1.403683e-001
1.511519215620606e-002	3.424708e-002	1.419760e-001
1.525086538955130e-002	3.490168e-002	1.432416e-001
1.526348726714442e-002	3.496281e-002	1.433593e-001
1.528873102233068e-002	3.508537e-002	1.435948e-001
1.533921853270319e-002	3.533084e-002	1.440657e-001
1.539874687156373e-002	3.562075e-002	1.446208e-001
1.542227367555215e-002	3.573550e-002	1.448402e-001
1.542323757794697e-002	3.574020e-002	1.448492e-001
1.542516538273662e-002	3.574961e-002	1.448672e-001
1.542902099231591e-002	3.576844e-002	1.449032e-001
1.543581966169656e-002	3.580165e-002	1.449666e-001
1.544683825157594e-002	3.585550e-002	1.450693e-001
1.545855086738502e-002	3.591276e-002	1.451785e-001
1.547911192357898e-002	3.601337e-002	1.453703e-001
1.551094283495097e-002	3.616929e-002	1.456671e-001
1.555474255414929e-002	3.638419e-002	1.460754e-001
1.560243121153019e-002	3.661854e-002	1.465201e-001
1.561028709154338e-002	3.665722e-002	1.465933e-001
1.562599885156976e-002	3.673477e-002	1.467398e-001
1.565193123652797e-002	3.686300e-002	1.469815e-001
1.565382004828192e-002	3.687235e-002	1.469992e-001
1.565759767178980e-002	3.689110e-002	1.470344e-001
1.566515291880558e-002	3.692861e-002	1.471048e-001
1.566644408796979e-002	3.693503e-002	1.471168e-001
1.566684757833361e-002	3.693704e-002	1.471206e-001
1.566700897447914e-002	3.693784e-002	1.471221e-001
1.566797735135230e-002	3.694265e-002	1.471311e-001
1.566926852051651e-002	3.694908e-002	1.471432e-001
1.567185085884494e-002	3.696192e-002	1.471672e-001
1.567701553550181e-002	3.698765e-002	1.472154e-001
1.568734488881553e-002	3.703918e-002	1.473117e-001
1.570414942858936e-002	3.712329e-002	1.474683e-001
1.572969520765884e-002	3.725176e-002	1.477064e-001
1.576730664042422e-002	3.744218e-002	1.480570e-001
1.581133418514398e-002	3.766698e-002	1.484674e-001
1.586510098034542e-002	3.794383e-002	1.489685e-001
1.588735922118583e-002	3.805936e-002	1.491759e-001
1.590598222297813e-002	3.815671e-002	1.493495e-001
1.592512353669620e-002	3.825731e-002	1.495279e-001
1.594254576957666e-002	3.834936e-002	1.496902e-001
1.596508517685225e-002	3.846914e-002	1.499003e-001
1.598903987862094e-002	3.859720e-002	1.501235e-001
1.601489654917005e-002	3.873632e-002	1.503644e-001
1.604306572394117e-002	3.888889e-002	1.506269e-001
1.607698084477094e-002	3.907355e-002	1.509428e-001
1.607877892462467e-002	3.908338e-002	1.509596e-001
1.608237508433213e-002	3.910309e-002	1.509931e-001
1.608956740374704e-002	3.914259e-002	1.510601e-001
1.610395204257687e-002	3.922172e-002	1.511941e-001
1.610484239217002e-002	3.922663e-002	1.512024e-001
1.610662309135631e-002	3.923646e-002	1.512190e-001
1.611018448972889e-002	3.925612e-002	1.512522e-001
1.611624359623375e-002	3.928963e-002	1.513086e-001
1.612604842028332e-002	3.934396e-002	1.514000e-001
1.613632661541104e-002	3.940111e-002	1.514957e-001
1.615688300566649e-002	3.951571e-002	1.516872e-001
1.615810078797330e-002	3.952251e-002	1.516986e-001
1.616053635258690e-002	3.953615e-002	1.517213e-001
