time	V(n038)
4.794532915532655e-002	4.435595e-002
4.810733909714064e-002	4.470219e-002
4.827776688591040e-002	4.506100e-002
4.829737156051189e-002	4.510180e-002
4.833658090971486e-002	4.518276e-002
4.837619808455557e-002	4.526430e-002
4.838591051829643e-002	4.528423e-002
4.840533538577815e-002	4.532399e-002
4.841019160264858e-002	4.533392e-002
4.841990403638944e-002	4.535376e-002
4.842233214482466e-002	4.535871e-002
4.842718836169509e-002	4.536862e-002
4.842840241591270e-002	4.537110e-002
4.843083052434791e-002	4.537605e-002
4.843568674121834e-002	4.538594e-002
4.844399045908532e-002	4.540284e-002
4.845763319574421e-002	4.543058e-002
4.847205164357493e-002	4.545984e-002
4.849859319554234e-002	4.551361e-002
4.853726497237699e-002	4.559268e-002
4.858411893148433e-002	4.569363e-002
4.863885209987884e-002	4.582806e-002
4.871083659591768e-002	4.604398e-002
4.881630877513581e-002	4.642488e-002
4.892384501217001e-002	4.686004e-002
4.903781970308010e-002	4.734130e-002
4.905467945787826e-002	4.741224e-002
4.908839896747458e-002	4.755246e-002
4.909682884487366e-002	4.758712e-002
4.911368859967182e-002	4.765518e-002
4.914740810926813e-002	4.778760e-002
4.918472864250403e-002	4.792846e-002
4.922072567379220e-002	4.805680e-002
4.929271973636854e-002	4.829728e-002
4.936743032827973e-002	4.853089e-002
4.944265472561400e-002	4.875110e-002
4.952414669238298e-002	4.897694e-002
4.961055762499632e-002	4.920620e-002
4.969946466012998e-002	4.943549e-002
4.971161153664345e-002	4.946628e-002
4.973590528967038e-002	4.952725e-002
4.976916016965485e-002	4.961041e-002
4.977545442127254e-002	4.962609e-002
4.978804292450792e-002	4.965738e-002
4.980097799307665e-002	4.968949e-002
4.981464648569711e-002	4.972349e-002
4.983415421297490e-002	4.977294e-002
4.985512812168733e-002	4.983274e-002
4.989707593911217e-002	4.998848e-002
4.993994399396269e-002	5.023930e-002
4.999869247462584e-002	5.081355e-002
5.006556239439572e-002	5.185523e-002
5.016150211728446e-002	5.389094e-002
5.026552724772589e-002	5.630904e-002
5.037939452859697e-002	5.882274e-002
5.039164873444255e-002	5.906107e-002
5.041615714613372e-002	5.949229e-002
5.042228424905651e-002	5.959604e-002
5.043453845490210e-002	5.979695e-002
5.043760200636349e-002	5.984626e-002
5.044372910928628e-002	5.994261e-002
5.045598331513187e-002	6.012895e-002
5.048049172682304e-002	6.047877e-002
5.051662264765475e-002	6.094756e-002
5.055545599113085e-002	6.139423e-002
5.059559639801151e-002	6.179126e-002
5.067587721177281e-002	6.246826e-002
5.075235923152741e-002	6.302390e-002
5.082713729999133e-002	6.349520e-002
5.091512473003905e-002	6.399240e-002
5.099620222458765e-002	6.441319e-002
5.109058042191973e-002	6.487208e-002
5.118721625113463e-002	6.532075e-002
5.130927695818176e-002	6.586983e-002
5.144747089902892e-002	6.648048e-002
5.159988744608447e-002	6.714654e-002
5.176538350346275e-002	6.786306e-002
5.192203410542490e-002	6.853476e-002
5.208255008019003e-002	6.921726e-002
5.214451051939831e-002	6.947908e-002
5.215789766960575e-002	6.953541e-002
5.218467197002065e-002	6.964789e-002
5.219136554512437e-002	6.967598e-002
5.220475269533182e-002	6.973210e-002
5.223152699574672e-002	6.984422e-002
5.224908473080125e-002	6.991766e-002
5.226872248500556e-002	6.999967e-002
5.229376733506457e-002	7.010426e-002
5.231991671040201e-002	7.021608e-002
5.236815457554137e-002	7.043901e-002
5.241325325942463e-002	7.069076e-002
5.248100029928388e-002	7.118108e-002
5.256029841391927e-002	7.190715e-002
5.265284396709870e-002	7.288894e-002
5.277384400552321e-002	7.421597e-002
5.288281418217738e-002	7.537402e-002
5.288951267851314e-002	7.544181e-002
5.290290967118465e-002	7.557221e-002
5.292970365652767e-002	7.582585e-002
5.296154508640035e-002	7.611392e-002
5.300198864320665e-002	7.645901e-002
5.304435117472921e-002	7.679455e-002
5.312907623777434e-002	7.741384e-002
5.320817958265299e-002	7.795071e-002
5.328396554248451e-002	7.843088e-002
5.337125599787937e-002	7.895624e-002
5.345385003567578e-002	7.943437e-002
5.354990324228851e-002	7.997464e-002
5.364984676134049e-002	8.052625e-002
5.377566588124085e-002	8.121245e-002
5.392036685399054e-002	8.199533e-002
5.411716675894449e-002	8.305193e-002
5.430689396943341e-002	8.406236e-002
5.446884427248307e-002	8.491769e-002
5.462476918068681e-002	8.573516e-002
5.472511239032720e-002	8.625844e-002
5.473918055486038e-002	8.633154e-002
5.476731688392673e-002	8.647737e-002
5.482358954205943e-002	8.676864e-002
5.483000483952378e-002	8.680180e-002
5.484283543445248e-002	8.686806e-002
5.485528520289611e-002	8.693232e-002
5.485839764500702e-002	8.694837e-002
5.486462252922884e-002	8.698047e-002
5.487707229767247e-002	8.704464e-002
5.489310719161644e-002	8.712724e-002
5.491056472594840e-002	8.721708e-002
5.494547979461234e-002	8.739730e-002
5.498910089111887e-002	8.762803e-002
5.504099949665118e-002	8.792309e-002
5.510393093224644e-002	8.833172e-002
5.519439018757922e-002	8.901247e-002
5.528792467557821e-002	8.979965e-002
5.540909474672787e-002	9.087677e-002
5.542295315226102e-002	9.100123e-002
5.545066996332732e-002	9.124850e-002
5.550610358545993e-002	9.173767e-002
5.551996199099308e-002	9.185869e-002
5.552342659237636e-002	9.188867e-002
5.553035579514294e-002	9.194831e-002
5.554421420067610e-002	9.206618e-002
5.556888924168173e-002	9.227222e-002
5.559445845315413e-002	9.247926e-002
5.564559687609891e-002	9.287441e-002
5.572727556671063e-002	9.347280e-002
5.579984761882646e-002	9.397620e-002
5.587233889859992e-002	9.445487e-002
5.595359900281473e-002	9.497146e-002
5.603956843900092e-002	9.550205e-002
5.612955030123185e-002	9.604531e-002
5.622742872172989e-002	9.662761e-002
5.634130787135199e-002	9.729903e-002
5.647735212730258e-002	9.809599e-002
5.665016022832308e-002	9.910134e-002
5.687587129393824e-002	1.004045e-001
5.705215008245484e-002	1.014142e-001
5.720507556742751e-002	1.022830e-001
5.737634067856071e-002	1.032487e-001
5.753606056758649e-002	1.041426e-001
5.769832779711924e-002	1.050443e-001
5.780318516114485e-002	1.056237e-001
5.785683912907188e-002	1.059189e-001
5.786577186618303e-002	1.059680e-001
5.788363734040533e-002	1.060660e-001
5.788810370896091e-002	1.060904e-001
5.789703644607206e-002	1.061394e-001
5.790864094338429e-002	1.062030e-001
5.791154206771235e-002	1.062188e-001
5.791226734879437e-002	1.062228e-001
5.791371791095840e-002	1.062308e-001
5.791408055149940e-002	1.062327e-001
5.791480583258141e-002	1.062367e-001
5.791625639474544e-002	1.062447e-001
5.791915751907351e-002	1.062605e-001
5.792495976772962e-002	1.062923e-001
5.793338519750362e-002	1.063384e-001
5.794960819884247e-002	1.064270e-001
5.797426573627154e-002	1.065616e-001
5.801327838964118e-002	1.067747e-001
5.805791310002267e-002	1.070215e-001
5.811266094763857e-002	1.073374e-001
5.818000799201135e-002	1.077614e-001
5.828152189973251e-002	1.084695e-001
5.838520914765109e-002	1.092529e-001
5.850042056789475e-002	1.101590e-001
5.851323231522678e-002	1.102607e-001
5.853885580989084e-002	1.104634e-001
5.858101681117102e-002	1.107920e-001
5.866116947495974e-002	1.114001e-001
5.871691350626840e-002	1.118068e-001
5.876742360814895e-002	1.121590e-001
5.882412229168565e-002	1.125383e-001
5.890076862794730e-002	1.130316e-001
5.898467542851595e-002	1.135531e-001
5.907338264905521e-002	1.140884e-001
5.915702005012873e-002	1.145823e-001
5.925086934796318e-002	1.151287e-001
5.935372382052073e-002	1.157224e-001
5.948002612003515e-002	1.164467e-001
5.963032125381547e-002	1.173026e-001
5.983007630137374e-002	1.184313e-001
6.000848152818905e-002	1.194309e-001
6.016773744176243e-002	1.203155e-001
6.032510656624161e-002	1.211822e-001
6.049641742577570e-002	1.221178e-001
6.065529379855118e-002	1.229781e-001
6.081703040782355e-002	1.238462e-001
6.097116525675266e-002	1.246663e-001
6.112984613180861e-002	1.255032e-001
6.128489173173071e-002	1.263136e-001
6.144424902019249e-002	1.271389e-001
6.160249942244512e-002	1.279508e-001
6.176668728753201e-002	1.287848e-001
6.193454488546015e-002	1.296287e-001
6.211420010892435e-002	1.305218e-001
6.230768288398287e-002	1.314719e-001
6.252794988612838e-002	1.325393e-001
6.272648735733484e-002	1.334910e-001
6.275766626386174e-002	1.336391e-001
6.282002407691553e-002	1.339334e-001
6.290472611442299e-002	1.343318e-001
6.291866970805583e-002	1.343971e-001
6.294655689532153e-002	1.345274e-001
6.300233126985290e-002	1.347875e-001
6.300903330476371e-002	1.348187e-001
6.302243737458532e-002	1.348810e-001
6.303520830185606e-002	1.349404e-001
6.303840103367375e-002	1.349552e-001
6.303919921662818e-002	1.349589e-001
6.304079558253702e-002	1.349663e-001
6.304398831435470e-002	1.349811e-001
6.305037377799008e-002	1.350107e-001
6.306071834958553e-002	1.350586e-001
6.307386849858003e-002	1.351195e-001
6.310016879656903e-002	1.352428e-001
6.313716951005817e-002	1.354311e-001
6.318443179885627e-002	1.357307e-001
6.323709530384357e-002	1.362070e-001
6.330714870500770e-002	1.371280e-001
6.340586228876224e-002	1.388030e-001
6.348918289680315e-002	1.403958e-001
6.350528430796709e-002	1.407123e-001
6.353748713029497e-002	1.413391e-001
6.354553783587695e-002	1.414931e-001
6.356163924704089e-002	1.417969e-001
6.356566459983187e-002	1.418721e-001
6.357371530541385e-002	1.420206e-001
6.358981671657779e-002	1.423139e-001
6.360587598692188e-002	1.426015e-001
6.362211540857454e-002	1.428857e-001
6.364441682977300e-002	1.432660e-001
6.366835802948564e-002	1.436647e-001
