time	V(vin)	V(n032)
4.174441584795356e-002	5.008459e-001	6.151657e-003
4.192048888779989e-002	5.027598e-001	6.313958e-003
4.207530220111852e-002	5.044405e-001	6.453580e-003
4.225011369303913e-002	5.063360e-001	6.608001e-003
4.240983371983516e-002	5.080658e-001	6.746166e-003
4.257287524460858e-002	5.098295e-001	6.884201e-003
4.272673299793685e-002	5.114918e-001	7.011673e-003
4.288569904893202e-002	5.132073e-001	7.140504e-003
4.303993385696722e-002	5.148698e-001	7.262713e-003
4.319846966995580e-002	5.165766e-001	7.385438e-003
4.335442030281196e-002	5.182536e-001	7.503296e-003
4.351501936153391e-002	5.199786e-001	7.621666e-003
4.367624795337157e-002	5.217081e-001	7.737428e-003
4.384493199291151e-002	5.235153e-001	7.855220e-003
4.402006737929079e-002	5.253892e-001	7.973898e-003
4.421023869573127e-002	5.274211e-001	8.098558e-003
4.441884175276601e-002	5.296464e-001	8.230220e-003
4.465968707410209e-002	5.322111e-001	8.375523e-003
4.495069972535423e-002	5.353036e-001	8.541388e-003
4.532348042423637e-002	5.392545e-001	8.738133e-003
4.582998240417548e-002	5.446037e-001	8.976061e-003
4.661783204830973e-002	5.528803e-001	9.289370e-003
4.742507935390869e-002	5.613045e-001	9.547638e-003
4.807278496941307e-002	5.680220e-001	9.707256e-003
4.854032955994469e-002	5.728476e-001	9.795480e-003
4.886352772431906e-002	5.761719e-001	9.843437e-003
4.908375916795006e-002	5.784316e-001	9.870172e-003
4.924037593399196e-002	5.800359e-001	9.886247e-003
4.938648603597289e-002	5.815306e-001	9.899507e-003
4.941348757534328e-002	5.818066e-001	9.901739e-003
4.946749065408407e-002	5.823584e-001	9.905826e-003
4.957549681156564e-002	5.834612e-001	9.913393e-003
4.966660138548807e-002	5.843906e-001	9.919236e-003
4.970759013102551e-002	5.848085e-001	9.921663e-003
4.971399487395162e-002	5.848738e-001	9.922022e-003
4.972680435980383e-002	5.850044e-001	9.922728e-003
4.972841642339387e-002	5.850208e-001	9.922816e-003
4.973164055057394e-002	5.850537e-001	9.922991e-003
4.973808880493410e-002	5.851194e-001	9.923337e-003
4.974669402970666e-002	5.852070e-001	9.923801e-003
4.976103485118107e-002	5.853532e-001	9.924654e-003
4.977603169914131e-002	5.855060e-001	9.926366e-003
4.980602539506180e-002	5.858115e-001	9.936387e-003
4.984639417898963e-002	5.862225e-001	9.975253e-003
4.989494051183227e-002	5.867167e-001	1.008855e-002
4.995181273462631e-002	5.872952e-001	1.036130e-002
5.002929959946591e-002	5.880831e-001	1.098674e-002
5.012517683455709e-002	5.890571e-001	1.201865e-002
5.022996014507671e-002	5.901207e-001	1.320052e-002
5.034366679651631e-002	5.912736e-001	1.435752e-002
5.035855330609741e-002	5.914245e-001	1.448598e-002
5.038832632525962e-002	5.917261e-001	1.471242e-002
5.039576958005017e-002	5.918015e-001	1.476598e-002
5.041065608963127e-002	5.919523e-001	1.486548e-002
5.044042910879348e-002	5.922538e-001	1.504785e-002
5.047726688179361e-002	5.926268e-001	1.524807e-002
5.051271729120565e-002	5.929855e-001	1.541152e-002
5.058361811002972e-002	5.937027e-001	1.568185e-002
5.065951164796558e-002	5.944698e-001	1.592150e-002
5.073442540485790e-002	5.952266e-001	1.611740e-002
5.081390310434842e-002	5.960289e-001	1.629462e-002
5.089937736268165e-002	5.968909e-001	1.646211e-002
5.098654339722632e-002	5.977694e-001	1.661618e-002
5.108237333068774e-002	5.987344e-001	1.677242e-002
5.119189832869541e-002	5.998362e-001	1.694096e-002
5.132353451081668e-002	6.011589e-001	1.713618e-002
5.148694867494119e-002	6.027987e-001	1.737304e-002
5.170076992081424e-002	6.049404e-001	1.767750e-002
5.187697404209735e-002	6.067021e-001	1.792420e-002
5.200711248097085e-002	6.080012e-001	1.810393e-002
5.202558435070220e-002	6.081855e-001	1.812921e-002
5.206252809016489e-002	6.085540e-001	1.817945e-002
5.211963040707505e-002	6.091232e-001	1.825682e-002
5.214393893298119e-002	6.093655e-001	1.828965e-002
5.215001606445772e-002	6.094260e-001	1.829784e-002
5.216217032741078e-002	6.095471e-001	1.831419e-002
5.216520889314905e-002	6.095774e-001	1.831828e-002
5.217128602462558e-002	6.096379e-001	1.832644e-002
5.217280530749471e-002	6.096531e-001	1.832848e-002
5.217584387323298e-002	6.096833e-001	1.833256e-002
5.217660351466755e-002	6.096908e-001	1.833358e-002
5.217812279753668e-002	6.097060e-001	1.833562e-002
5.217850261825396e-002	6.097098e-001	1.833613e-002
5.217926225968853e-002	6.097174e-001	1.833715e-002
5.218078154255767e-002	6.097325e-001	1.833919e-002
5.218382010829593e-002	6.097627e-001	1.834327e-002
5.218989723977247e-002	6.098233e-001	1.835141e-002
5.219858023674105e-002	6.099098e-001	1.836304e-002
5.221551375309806e-002	6.100784e-001	1.838570e-002
5.224087979695937e-002	6.103309e-001	1.842009e-002
5.228134397514156e-002	6.107336e-001	1.847941e-002
5.232600762688569e-002	6.111780e-001	1.856114e-002
5.238221298396217e-002	6.117368e-001	1.870648e-002
5.245083576242005e-002	6.124188e-001	1.896344e-002
5.255672412955097e-002	6.134701e-001	1.947818e-002
5.266400718939038e-002	6.145343e-001	2.005992e-002
5.277838296065550e-002	6.156675e-001	2.068698e-002
5.279488201937254e-002	6.158308e-001	2.077403e-002
5.282788013680662e-002	6.161575e-001	2.094224e-002
5.283612966616515e-002	6.162391e-001	2.098346e-002
5.285262872488219e-002	6.164024e-001	2.106354e-002
5.288562684231627e-002	6.167289e-001	2.121762e-002
5.292363932245523e-002	6.171048e-001	2.138587e-002
5.295886423602979e-002	6.174531e-001	2.153080e-002
5.302931406317891e-002	6.181492e-001	2.179794e-002
5.310565307340476e-002	6.189030e-001	2.206542e-002
5.318107354472627e-002	6.196471e-001	2.231021e-002
5.326118309233183e-002	6.204370e-001	2.255438e-002
5.334705168552940e-002	6.212829e-001	2.280353e-002
5.343466749425462e-002	6.221452e-001	2.304834e-002
5.353087401228227e-002	6.230913e-001	2.330991e-002
5.364103169155177e-002	6.241734e-001	2.360419e-002
5.377339668522540e-002	6.254721e-001	2.395409e-002
5.393813821348385e-002	6.270860e-001	2.438616e-002
5.413737347751275e-002	6.290343e-001	2.490443e-002
5.433773617289386e-002	6.309896e-001	2.542111e-002
5.450083762485251e-002	6.325783e-001	2.583802e-002
5.465662067308703e-002	6.340933e-001	2.623284e-002
5.482140677653594e-002	6.356931e-001	2.664706e-002
5.498131934361935e-002	6.372431e-001	2.704572e-002
5.514033344205277e-002	6.387818e-001	2.743880e-002
5.529586128419813e-002	6.402843e-001	2.782002e-002
5.545285681363567e-002	6.417984e-001	2.820153e-002
5.560901720867247e-002	6.433021e-001	2.857771e-002
5.576737116526231e-002	6.448243e-001	2.895578e-002
5.592668582416938e-002	6.463532e-001	2.933264e-002
5.609032725387676e-002	6.479210e-001	2.971604e-002
5.625904741155421e-002	6.495345e-001	3.010738e-002
5.643785117022215e-002	6.512412e-001	3.051766e-002
5.663074529554893e-002	6.530789e-001	3.095504e-002
5.684685275159521e-002	6.551330e-001	3.143851e-002
5.709696192955942e-002	6.575043e-001	3.198914e-002
5.741007204599391e-002	6.604638e-001	3.266466e-002
5.781631145649601e-002	6.642882e-001	3.351707e-002
5.840516399662556e-002	6.698011e-001	3.470015e-002
5.938172649662556e-002	6.788628e-001	3.654620e-002
6.035828899662556e-002	6.878223e-001	3.825876e-002
6.109605569588031e-002	6.945223e-001	3.945046e-002
6.161690837720724e-002	6.992165e-001	4.023154e-002
6.198010690565837e-002	7.024721e-001	4.074502e-002
6.223481796242109e-002	7.047465e-001	4.108950e-002
6.240986090830473e-002	7.063054e-001	4.131843e-002
6.255920843519985e-002	7.076327e-001	4.150941e-002
6.258641803449100e-002	7.078742e-001	4.154367e-002
6.264083723307327e-002	7.083571e-001	4.161130e-002
6.274967563023783e-002	7.093219e-001	4.174503e-002
6.285400373253663e-002	7.102454e-001	4.187176e-002
6.286934422897302e-002	7.103810e-001	4.189020e-002
6.290002522184578e-002	7.106524e-001	4.192685e-002
6.290769547006396e-002	7.107202e-001	4.193598e-002
6.292303596650034e-002	7.108558e-001	4.195420e-002
6.293648291457218e-002	7.109746e-001	4.197015e-002
6.293825070430276e-002	7.109903e-001	4.197225e-002
6.294178628376390e-002	7.110215e-001	4.197643e-002
6.294885744268620e-002	7.110839e-001	4.198479e-002
6.296075221377370e-002	7.111890e-001	4.199882e-002
6.297254885048514e-002	7.112932e-001	4.201271e-002
6.299080417964038e-002	7.114545e-001	4.203417e-002
6.301005526775508e-002	7.116244e-001	4.205775e-002
6.304855744398447e-002	7.119643e-001	4.211511e-002
6.309238298686727e-002	7.123509e-001	4.221885e-002
6.314814610987891e-002	7.128425e-001	4.245281e-002
6.321452949509546e-002	7.134273e-001	4.291452e-002
6.330834599027030e-002	7.142529e-001	4.381765e-002
6.339845313925641e-002	7.150450e-001	4.482208e-002
6.341377278733036e-002	7.151796e-001	4.499945e-002
6.344441208347829e-002	7.154486e-001	4.535074e-002
6.346204837610357e-002	7.156034e-001	4.554767e-002
6.349732096135415e-002	7.159130e-001	4.593245e-002
6.349976738723549e-002	7.159345e-001	4.595861e-002
6.350466023899817e-002	7.159774e-001	4.601003e-002
6.351444594252355e-002	7.160632e-001	4.611205e-002
6.352420267879623e-002	7.161488e-001	4.621227e-002
6.354174135384376e-002	7.163026e-001	4.638880e-002
6.355981715329903e-002	7.164611e-001	4.656535e-002
6.359326229037010e-002	7.167542e-001	4.687769e-002
6.363525755945455e-002	7.171221e-001	4.724783e-002
6.368350778836558e-002	7.175446e-001	4.764904e-002
6.372327156458170e-002	7.178925e-001	4.796855e-002
6.376948898768191e-002	7.182967e-001	4.834189e-002
6.386192383388233e-002	7.191043e-001	4.911014e-002
6.394652759720071e-002	7.198427e-001	4.982704e-002
6.402369866751169e-002	7.205155e-001	5.047424e-002
6.410933687332171e-002	7.212614e-001	5.117210e-002
6.411984376131988e-002	7.213529e-001	5.125497e-002
6.414085753731622e-002	7.215357e-001	5.141694e-002
6.414611098131530e-002	7.215814e-001	5.145703e-002
6.415661786931347e-002	7.216728e-001	5.153618e-002
6.417763164530980e-002	7.218556e-001	5.169115e-002
6.421965919730249e-002	7.222210e-001	5.198993e-002
6.425874484173240e-002	7.225606e-001	5.225296e-002
6.430223550717275e-002	7.229383e-001	5.252647e-002
6.434854012090330e-002	7.233402e-001	5.279566e-002
6.444114934836440e-002	7.241433e-001	5.329102e-002
6.453634351169983e-002	7.249678e-001	5.376291e-002
6.462301340460354e-002	7.257175e-001	5.416495e-002
6.470398845521029e-002	7.264172e-001	5.452339e-002
6.479222368387216e-002	7.271788e-001	5.490207e-002
6.489176299603211e-002	7.280369e-001	5.532140e-002
6.500614913271874e-002	7.290215e-001	5.579855e-002
6.514484399031371e-002	7.302134e-001	5.637417e-002
6.531952408180052e-002	7.317114e-001	5.709612e-002
6.549425211724834e-002	7.332062e-001	5.781505e-002
6.565893585042434e-002	7.346119e-001	5.848948e-002
6.581550370421943e-002	7.359454e-001	5.912771e-002
6.597165383893848e-002	7.372725e-001	5.976132e-002
6.612830136784766e-002	7.386010e-001	6.039402e-002
6.628506190284814e-002	7.399275e-001	6.102421e-002
6.644223393715913e-002	7.412547e-001	6.165303e-002
6.660056955606281e-002	7.425888e-001	6.228343e-002
6.675701200182202e-002	7.439040e-001	6.290320e-002
6.691410568374370e-002	7.452219e-001	6.352242e-002
6.707136593644844e-002	7.465381e-001	6.413911e-002
6.723120769768626e-002	7.478731e-001	6.476263e-002
6.739392234802848e-002	7.492289e-001	6.539388e-002
6.756276571057074e-002	7.506325e-001	6.604516e-002
6.774037733790231e-002	7.521052e-001	6.672606e-002
6.793289882503557e-002	7.536975e-001	6.745917e-002
6.814745649155288e-002	7.554668e-001	6.827002e-002
6.839736888598232e-002	7.575206e-001	6.920596e-002
6.870993085239403e-002	7.600788e-001	7.036325e-002
6.912045132397159e-002	7.634211e-001	7.185941e-002
6.973044079256464e-002	7.683496e-001	7.402908e-002
7.070700329256464e-002	7.761459e-001	7.738987e-002
7.164295337337563e-002	7.835083e-001	8.048719e-002
7.235221358730928e-002	7.890154e-001	8.273993e-002
7.286804378632260e-002	7.929812e-001	8.432088e-002
